"Goals","factor","GF","KA","KP","LN","MDK","MP","TS","ZH"
"My goal is to start eating healthier everyday and allowing myself one or two cheat days a week.","Consensus",4,NA,3.5,NA,NA,NA,NA,NA
"My goal is to start eating healthier everyday and allowing myself one or two cheat days a week.","External",2.4,NA,4,NA,NA,NA,NA,NA
"My goal is to start eating healthier everyday and allowing myself one or two cheat days a week.","Instrumentality",4.5,NA,7,NA,NA,NA,NA,NA
"My goal is to start eating healthier everyday and allowing myself one or two cheat days a week.","Measurability",4.5,NA,6,NA,NA,NA,NA,NA
"My goal is to start eating healthier everyday and allowing myself one or two cheat days a week.","Value",3.42857142857143,NA,4.83333333333333,NA,NA,NA,NA,NA
"My goal is to start exercising twice a week for the next 6 months.","Attainability",NA,NA,NA,3.75,NA,NA,4.25,NA
"My goal is to start exercising twice a week for the next 6 months.","Consensus",NA,NA,NA,3.5,NA,NA,2.25,NA
"My goal is to start exercising twice a week for the next 6 months.","External",NA,NA,NA,3.6,NA,NA,3.4,NA
"My goal is to start exercising twice a week for the next 6 months.","Instrumentality",NA,NA,NA,4,NA,NA,5.5,NA
"My goal is to start exercising twice a week for the next 6 months.","Measurability",NA,NA,NA,5.5,NA,NA,5,NA
"My goal is to start exercising twice a week for the next 6 months.","Value",NA,NA,NA,3.71428571428571,NA,NA,4.28571428571429,NA
"My goal is to start finishing up projects left undone on the house in the next month.","Attainability",NA,5,NA,NA,NA,NA,3.5,NA
"My goal is to start finishing up projects left undone on the house in the next month.","Consensus",NA,2,NA,NA,NA,NA,1.5,NA
"My goal is to start finishing up projects left undone on the house in the next month.","External",NA,2.6,NA,NA,NA,NA,5,NA
"My goal is to start finishing up projects left undone on the house in the next month.","Instrumentality",NA,4,NA,NA,NA,NA,4,NA
"My goal is to start finishing up projects left undone on the house in the next month.","Measurability",NA,1.5,NA,NA,NA,NA,3,NA
"My goal is to start finishing up projects left undone on the house in the next month.","Value",NA,3.14285714285714,NA,NA,NA,NA,4,NA
"My goal is to start investing money for retirement in within six months.","Attainability",NA,3.5,2.5,NA,NA,NA,NA,NA
"My goal is to start investing money for retirement in within six months.","Consensus",NA,3.25,4.75,NA,NA,NA,NA,NA
"My goal is to start investing money for retirement in within six months.","External",NA,4,4.4,NA,NA,NA,NA,NA
"My goal is to start investing money for retirement in within six months.","Instrumentality",NA,6,6.5,NA,NA,NA,NA,NA
"My goal is to start investing money for retirement in within six months.","Measurability",NA,3.5,5,NA,NA,NA,NA,NA
"My goal is to start investing money for retirement in within six months.","Value",NA,4.57142857142857,4.71428571428571,NA,NA,NA,NA,NA
"My goal is to start learning Italian","Attainability",NA,NA,7.33333333333333,NA,NA,NA,NA,5
"My goal is to start learning Italian","Consensus",NA,NA,2,NA,NA,NA,NA,1
"My goal is to start learning Italian","External",NA,NA,4.33333333333333,NA,NA,NA,NA,3
"My goal is to start learning Italian","Instrumentality",NA,NA,4,NA,NA,NA,NA,5.5
"My goal is to start learning Italian","Measurability",NA,NA,5,NA,NA,NA,NA,3.5
"My goal is to start learning Italian","Value",NA,NA,5,NA,NA,NA,NA,4.14285714285714
"My goal is to start putting $50 a week into the savings account starting this Friday.","Attainability",4.75,NA,NA,NA,NA,NA,5,NA
"My goal is to start putting $50 a week into the savings account starting this Friday.","Consensus",3.25,NA,NA,NA,NA,NA,1.5,NA
"My goal is to start putting $50 a week into the savings account starting this Friday.","External",2.2,NA,NA,NA,NA,NA,2.4,NA
"My goal is to start putting $50 a week into the savings account starting this Friday.","Instrumentality",4.5,NA,NA,NA,NA,NA,5,NA
"My goal is to start putting $50 a week into the savings account starting this Friday.","Measurability",6,NA,NA,NA,NA,NA,6.5,NA
"My goal is to start putting $50 a week into the savings account starting this Friday.","Value",3.42857142857143,NA,NA,NA,NA,NA,4.85714285714286,NA
"My goal is to start stretching everyday starting April 1st.","Attainability",NA,NA,NA,4,NA,NA,4.25,NA
"My goal is to start stretching everyday starting April 1st.","Consensus",NA,NA,NA,1.5,NA,NA,1,NA
"My goal is to start stretching everyday starting April 1st.","External",NA,NA,NA,2.2,NA,NA,2.6,NA
"My goal is to start stretching everyday starting April 1st.","Instrumentality",NA,NA,NA,3.5,NA,NA,4.5,NA
"My goal is to start stretching everyday starting April 1st.","Measurability",NA,NA,NA,5,NA,NA,5,NA
"My goal is to start stretching everyday starting April 1st.","Value",NA,NA,NA,2.85714285714286,NA,NA,3.57142857142857,NA
"My goal is to start thinking and feeling more positive everyday.","Attainability",NA,NA,NA,2.75,NA,NA,NA,6.33333333333333
"My goal is to start thinking and feeling more positive everyday.","Consensus",NA,NA,NA,2,NA,NA,NA,2.75
"My goal is to start thinking and feeling more positive everyday.","External",NA,NA,NA,2.6,NA,NA,NA,3.4
"My goal is to start thinking and feeling more positive everyday.","Instrumentality",NA,NA,NA,4,NA,NA,NA,6
"My goal is to start thinking and feeling more positive everyday.","Measurability",NA,NA,NA,3,NA,NA,NA,2.5
"My goal is to start thinking and feeling more positive everyday.","Value",NA,NA,NA,3.57142857142857,NA,NA,NA,6.42857142857143
"My goal is to starting tackling credit card debt","Attainability",NA,NA,NA,NA,NA,2.25,NA,4
"My goal is to starting tackling credit card debt","Consensus",NA,NA,NA,NA,NA,3.25,NA,3.75
"My goal is to starting tackling credit card debt","External",NA,NA,NA,NA,NA,5.2,NA,4.8
"My goal is to starting tackling credit card debt","Instrumentality",NA,NA,NA,NA,NA,5,NA,5.5
"My goal is to starting tackling credit card debt","Measurability",NA,NA,NA,NA,NA,4,NA,1
"My goal is to starting tackling credit card debt","Value",NA,NA,NA,NA,NA,4.14285714285714,NA,4.28571428571429
"My goal is to stop eating candy and junk food for three months straight to improve my diet.","Attainability",NA,NA,NA,NA,5.5,NA,3.75,NA
"My goal is to stop eating candy and junk food for three months straight to improve my diet.","Consensus",NA,NA,NA,NA,4,NA,1.75,NA
"My goal is to stop eating candy and junk food for three months straight to improve my diet.","External",NA,NA,NA,NA,4.8,NA,3.4,NA
"My goal is to stop eating candy and junk food for three months straight to improve my diet.","Instrumentality",NA,NA,NA,NA,4,NA,4.5,NA
"My goal is to stop eating candy and junk food for three months straight to improve my diet.","Measurability",NA,NA,NA,NA,3,NA,5.5,NA
"My goal is to stop eating candy and junk food for three months straight to improve my diet.","Value",NA,NA,NA,NA,3.42857142857143,NA,4.71428571428571,NA
"My goal is to stream at least once a week.","Attainability",NA,NA,5.66666666666667,NA,NA,NA,NA,6
"My goal is to stream at least once a week.","Consensus",NA,NA,-1.5,NA,NA,NA,NA,0
"My goal is to stream at least once a week.","External",NA,NA,3,NA,NA,NA,NA,3
"My goal is to stream at least once a week.","Instrumentality",NA,NA,5.5,NA,NA,NA,NA,5.5
"My goal is to stream at least once a week.","Measurability",NA,NA,7,NA,NA,NA,NA,3
"My goal is to stream at least once a week.","Value",NA,NA,4.71428571428571,NA,NA,NA,NA,2.42857142857143
"My goal is to study hard for the MCAT and get a score above 520 within the next three months.","Attainability",NA,4.25,2.75,NA,NA,NA,NA,5.66666666666667
"My goal is to study hard for the MCAT and get a score above 520 within the next three months.","Consensus",NA,1.5,3.5,NA,NA,NA,NA,1.5
"My goal is to study hard for the MCAT and get a score above 520 within the next three months.","External",NA,5.4,3.8,NA,NA,NA,NA,5.2
"My goal is to study hard for the MCAT and get a score above 520 within the next three months.","Instrumentality",NA,6,5,NA,NA,NA,NA,6
"My goal is to study hard for the MCAT and get a score above 520 within the next three months.","Measurability",NA,5,4,NA,NA,NA,NA,6
"My goal is to study hard for the MCAT and get a score above 520 within the next three months.","Value",NA,5.14285714285714,4.42857142857143,NA,NA,NA,NA,5.71428571428571
"My goal is to take a trip outside the U.S. I think it'll take 3 months.","Attainability",0.75,NA,NA,NA,NA,0.75,NA,NA
"My goal is to take a trip outside the U.S. I think it'll take 3 months.","Consensus",0.75,NA,NA,NA,NA,2.25,NA,NA
"My goal is to take a trip outside the U.S. I think it'll take 3 months.","External",2,NA,NA,NA,NA,4.6,NA,NA
"My goal is to take a trip outside the U.S. I think it'll take 3 months.","Instrumentality",3.5,NA,NA,NA,NA,4.5,NA,NA
"My goal is to take a trip outside the U.S. I think it'll take 3 months.","Measurability",3,NA,NA,NA,NA,5,NA,NA
"My goal is to take a trip outside the U.S. I think it'll take 3 months.","Value",2.57142857142857,NA,NA,NA,NA,4.57142857142857,NA,NA
"My goal is to take a vacation in the summer.","Attainability",4,NA,NA,NA,4.5,NA,NA,NA
"My goal is to take a vacation in the summer.","Consensus",2.25,NA,NA,NA,3.25,NA,NA,NA
"My goal is to take a vacation in the summer.","External",1.8,NA,NA,NA,4.8,NA,NA,NA
"My goal is to take a vacation in the summer.","Instrumentality",4,NA,NA,NA,3.5,NA,NA,NA
"My goal is to take a vacation in the summer.","Measurability",4,NA,NA,NA,2,NA,NA,NA
"My goal is to take a vacation in the summer.","Value",3,NA,NA,NA,4.28571428571429,NA,NA,NA
"My goal is to take my lunch to work at least three times a week instead of eating out everyday.","Attainability",NA,5,2,NA,5.25,NA,NA,NA
"My goal is to take my lunch to work at least three times a week instead of eating out everyday.","Consensus",NA,0.75,2,NA,1.25,NA,NA,NA
"My goal is to take my lunch to work at least three times a week instead of eating out everyday.","External",NA,3.2,3.2,NA,3.2,NA,NA,NA
"My goal is to take my lunch to work at least three times a week instead of eating out everyday.","Instrumentality",NA,4,4.5,NA,4,NA,NA,NA
"My goal is to take my lunch to work at least three times a week instead of eating out everyday.","Measurability",NA,5.5,3,NA,6,NA,NA,NA
"My goal is to take my lunch to work at least three times a week instead of eating out everyday.","Value",NA,2.85714285714286,4,NA,2.71428571428571,NA,NA,NA
"My goal is to take steps to destress my life","Attainability",NA,NA,NA,NA,4,NA,3.75,NA
"My goal is to take steps to destress my life","Consensus",NA,NA,NA,NA,3,NA,2.75,NA
"My goal is to take steps to destress my life","External",NA,NA,NA,NA,3.6,NA,4,NA
"My goal is to take steps to destress my life","Instrumentality",NA,NA,NA,NA,6.5,NA,5.5,NA
"My goal is to take steps to destress my life","Measurability",NA,NA,NA,NA,2.5,NA,2.5,NA
"My goal is to take steps to destress my life","Value",NA,NA,NA,NA,4.71428571428571,NA,6,NA
"My goal is to take time to appreciate small things every day.","Attainability",NA,4.5,5,NA,NA,NA,NA,NA
"My goal is to take time to appreciate small things every day.","Consensus",NA,2.75,3.5,NA,NA,NA,NA,NA
"My goal is to take time to appreciate small things every day.","External",NA,2.4,3.66666666666667,NA,NA,NA,NA,NA
"My goal is to take time to appreciate small things every day.","Instrumentality",NA,6,6,NA,NA,NA,NA,NA
"My goal is to take time to appreciate small things every day.","Measurability",NA,2,4.5,NA,NA,NA,NA,NA
"My goal is to take time to appreciate small things every day.","Value",NA,5.42857142857143,5.28571428571429,NA,NA,NA,NA,NA
"My goal is to teach my dog to recognize numbers and quantities up to ten in three months.","Attainability",-0.5,NA,NA,NA,NA,NA,2.5,NA
"My goal is to teach my dog to recognize numbers and quantities up to ten in three months.","Consensus",-0.5,NA,NA,NA,NA,NA,-1,NA
"My goal is to teach my dog to recognize numbers and quantities up to ten in three months.","External",2.2,NA,NA,NA,NA,NA,1.8,NA
"My goal is to teach my dog to recognize numbers and quantities up to ten in three months.","Instrumentality",1.5,NA,NA,NA,NA,NA,2,NA
"My goal is to teach my dog to recognize numbers and quantities up to ten in three months.","Measurability",3.5,NA,NA,NA,NA,NA,6.5,NA
"My goal is to teach my dog to recognize numbers and quantities up to ten in three months.","Value",2.57142857142857,NA,NA,NA,NA,NA,2.42857142857143,NA
"My goal is to tidy up my room on a weekly basis.","Attainability",NA,NA,NA,3.75,NA,NA,4.75,NA
"My goal is to tidy up my room on a weekly basis.","Consensus",NA,NA,NA,2.75,NA,NA,2,NA
"My goal is to tidy up my room on a weekly basis.","External",NA,NA,NA,2.2,NA,NA,2,NA
"My goal is to tidy up my room on a weekly basis.","Instrumentality",NA,NA,NA,3.5,NA,NA,5,NA
"My goal is to tidy up my room on a weekly basis.","Measurability",NA,NA,NA,4.5,NA,NA,4,NA
"My goal is to tidy up my room on a weekly basis.","Value",NA,NA,NA,3,NA,NA,3.42857142857143,NA
"My goal is to train my new puppy to become a very well-trained dog over the next three months.","Attainability",NA,NA,NA,NA,NA,3.25,NA,5.33333333333333
"My goal is to train my new puppy to become a very well-trained dog over the next three months.","Consensus",NA,NA,NA,NA,NA,2.25,NA,0.5
"My goal is to train my new puppy to become a very well-trained dog over the next three months.","External",NA,NA,NA,NA,NA,5.4,NA,3.4
"My goal is to train my new puppy to become a very well-trained dog over the next three months.","Instrumentality",NA,NA,NA,NA,NA,5,NA,1
"My goal is to train my new puppy to become a very well-trained dog over the next three months.","Measurability",NA,NA,NA,NA,NA,5,NA,5.5
"My goal is to train my new puppy to become a very well-trained dog over the next three months.","Value",NA,NA,NA,NA,NA,4.42857142857143,NA,3.57142857142857
"My goal is to treat my best friend better. This will be ongoing. Specifically our main communication is via email. I tend to be judgmental of her and her decisions. Her emails are also riddled with typos and I point those out when I should just overlook them.","Attainability",3.75,NA,NA,NA,NA,NA,5.75,NA
"My goal is to treat my best friend better. This will be ongoing. Specifically our main communication is via email. I tend to be judgmental of her and her decisions. Her emails are also riddled with typos and I point those out when I should just overlook them.","Consensus",2.75,NA,NA,NA,NA,NA,2,NA
"My goal is to treat my best friend better. This will be ongoing. Specifically our main communication is via email. I tend to be judgmental of her and her decisions. Her emails are also riddled with typos and I point those out when I should just overlook them.","External",6,NA,NA,NA,NA,NA,5.4,NA
"My goal is to treat my best friend better. This will be ongoing. Specifically our main communication is via email. I tend to be judgmental of her and her decisions. Her emails are also riddled with typos and I point those out when I should just overlook them.","Instrumentality",4,NA,NA,NA,NA,NA,5,NA
"My goal is to treat my best friend better. This will be ongoing. Specifically our main communication is via email. I tend to be judgmental of her and her decisions. Her emails are also riddled with typos and I point those out when I should just overlook them.","Measurability",4.5,NA,NA,NA,NA,NA,4.5,NA
"My goal is to treat my best friend better. This will be ongoing. Specifically our main communication is via email. I tend to be judgmental of her and her decisions. Her emails are also riddled with typos and I point those out when I should just overlook them.","Value",5.42857142857143,NA,NA,NA,NA,NA,4.71428571428571,NA
"My goal is to walk 10,000 steps everyday.","Attainability",NA,NA,NA,2.75,NA,NA,3,NA
"My goal is to walk 10,000 steps everyday.","Consensus",NA,NA,NA,2.25,NA,NA,1,NA
"My goal is to walk 10,000 steps everyday.","External",NA,NA,NA,3.2,NA,NA,2.8,NA
"My goal is to walk 10,000 steps everyday.","Instrumentality",NA,NA,NA,4,NA,NA,3.5,NA
"My goal is to walk 10,000 steps everyday.","Measurability",NA,NA,NA,4,NA,NA,7,NA
"My goal is to walk 10,000 steps everyday.","Value",NA,NA,NA,3.57142857142857,NA,NA,3.42857142857143,NA
"My goal is to walk 10,000 steps per day","Attainability",NA,NA,4.25,NA,6,NA,NA,NA
"My goal is to walk 10,000 steps per day","Consensus",NA,NA,3.5,NA,2.5,NA,NA,NA
"My goal is to walk 10,000 steps per day","External",NA,NA,2.4,NA,3.4,NA,NA,NA
"My goal is to walk 10,000 steps per day","Instrumentality",NA,NA,5.5,NA,4.5,NA,NA,NA
"My goal is to walk 10,000 steps per day","Measurability",NA,NA,6.5,NA,6,NA,NA,NA
"My goal is to walk 10,000 steps per day","Value",NA,NA,3.71428571428571,NA,2.71428571428571,NA,NA,NA
"My goal is to walk for 90 minutes a day 5 days a week","Attainability",3.75,NA,3.75,NA,NA,NA,NA,NA
"My goal is to walk for 90 minutes a day 5 days a week","Consensus",2,NA,2,NA,NA,NA,NA,NA
"My goal is to walk for 90 minutes a day 5 days a week","External",2.75,NA,3.25,NA,NA,NA,NA,NA
"My goal is to walk for 90 minutes a day 5 days a week","Instrumentality",3.5,NA,3,NA,NA,NA,NA,NA
"My goal is to walk for 90 minutes a day 5 days a week","Measurability",6,NA,3.5,NA,NA,NA,NA,NA
"My goal is to walk for 90 minutes a day 5 days a week","Value",3.28571428571429,NA,3,NA,NA,NA,NA,NA
"My goal is to walk for at least 45 minutes every day for the next two weeks.","Attainability",NA,NA,NA,NA,NA,NA,NA,5.66666666666667
"My goal is to walk for at least 45 minutes every day for the next two weeks.","Consensus",NA,NA,NA,NA,NA,NA,NA,1
"My goal is to walk for at least 45 minutes every day for the next two weeks.","External",NA,NA,NA,NA,NA,NA,NA,2.6
"My goal is to walk for at least 45 minutes every day for the next two weeks.","Instrumentality",NA,NA,NA,NA,NA,NA,NA,5.5
"My goal is to walk for at least 45 minutes every day for the next two weeks.","Measurability",NA,NA,NA,NA,NA,NA,NA,5.5
"My goal is to walk for at least 45 minutes every day for the next two weeks.","Value",NA,NA,NA,NA,NA,NA,NA,3.28571428571429
"My goal is to work on mturk at least 4 hours a day on weekdays.","Attainability",NA,NA,NA,NA,4.75,3,NA,NA
"My goal is to work on mturk at least 4 hours a day on weekdays.","Consensus",NA,NA,NA,NA,2,1.75,NA,NA
"My goal is to work on mturk at least 4 hours a day on weekdays.","External",NA,NA,NA,NA,3.8,4.2,NA,NA
"My goal is to work on mturk at least 4 hours a day on weekdays.","Instrumentality",NA,NA,NA,NA,6,4.5,NA,NA
"My goal is to work on mturk at least 4 hours a day on weekdays.","Measurability",NA,NA,NA,NA,7,6,NA,NA
"My goal is to work on mturk at least 4 hours a day on weekdays.","Value",NA,NA,NA,NA,3.85714285714286,3.57142857142857,NA,NA
"My goal is to work on my marriage and form a better relationship with my husband in the next three months.","Attainability",2.75,NA,-2,NA,NA,NA,NA,NA
"My goal is to work on my marriage and form a better relationship with my husband in the next three months.","Consensus",2,NA,3,NA,NA,NA,NA,NA
"My goal is to work on my marriage and form a better relationship with my husband in the next three months.","External",7,NA,6.25,NA,NA,NA,NA,NA
"My goal is to work on my marriage and form a better relationship with my husband in the next three months.","Instrumentality",3.5,NA,4,NA,NA,NA,NA,NA
"My goal is to work on my marriage and form a better relationship with my husband in the next three months.","Measurability",4,NA,3.5,NA,NA,NA,NA,NA
"My goal is to work on my marriage and form a better relationship with my husband in the next three months.","Value",5.14285714285714,NA,5.33333333333333,NA,NA,NA,NA,NA
"My goal is to work out at least 4 days a week in the next three months.","Attainability",3,NA,NA,NA,NA,NA,NA,6
"My goal is to work out at least 4 days a week in the next three months.","Consensus",3.25,NA,NA,NA,NA,NA,NA,2
"My goal is to work out at least 4 days a week in the next three months.","External",2.2,NA,NA,NA,NA,NA,NA,3.4
"My goal is to work out at least 4 days a week in the next three months.","Instrumentality",4.5,NA,NA,NA,NA,NA,NA,4.5
"My goal is to work out at least 4 days a week in the next three months.","Measurability",5.5,NA,NA,NA,NA,NA,NA,5
"My goal is to work out at least 4 days a week in the next three months.","Value",2.85714285714286,NA,NA,NA,NA,NA,NA,3.28571428571429
"My goal is to work out on the Max Trainer for 15 minutes at least 5 times a week.","Attainability",NA,4.5,NA,NA,NA,NA,NA,NA
"My goal is to work out on the Max Trainer for 15 minutes at least 5 times a week.","Consensus",NA,1.75,NA,NA,NA,NA,NA,NA
"My goal is to work out on the Max Trainer for 15 minutes at least 5 times a week.","External",NA,3,NA,NA,NA,NA,NA,NA
"My goal is to work out on the Max Trainer for 15 minutes at least 5 times a week.","Instrumentality",NA,5.5,NA,NA,NA,NA,NA,NA
"My goal is to work out on the Max Trainer for 15 minutes at least 5 times a week.","Measurability",NA,6.5,NA,NA,NA,NA,NA,NA
"My goal is to work out on the Max Trainer for 15 minutes at least 5 times a week.","Value",NA,4.42857142857143,NA,NA,NA,NA,NA,NA
"My goal is to workout 4-6 days per week.","Attainability",3.25,NA,NA,NA,NA,NA,NA,6
"My goal is to workout 4-6 days per week.","Consensus",3.25,NA,NA,NA,NA,NA,NA,2.5
"My goal is to workout 4-6 days per week.","External",1.8,NA,NA,NA,NA,NA,NA,3.8
"My goal is to workout 4-6 days per week.","Instrumentality",4,NA,NA,NA,NA,NA,NA,5.5
"My goal is to workout 4-6 days per week.","Measurability",5,NA,NA,NA,NA,NA,NA,3.5
"My goal is to workout 4-6 days per week.","Value",3.28571428571429,NA,NA,NA,NA,NA,NA,3.71428571428571
"My goal is to workout and have a more fit body by summer.","Attainability",4,NA,3.5,NA,NA,NA,NA,NA
"My goal is to workout and have a more fit body by summer.","Consensus",2.75,NA,4.5,NA,NA,NA,NA,NA
"My goal is to workout and have a more fit body by summer.","External",1.8,NA,3.75,NA,NA,NA,NA,NA
"My goal is to workout and have a more fit body by summer.","Instrumentality",4,NA,6,NA,NA,NA,NA,NA
"My goal is to workout and have a more fit body by summer.","Measurability",3,NA,3,NA,NA,NA,NA,NA
"My goal is to workout and have a more fit body by summer.","Value",3.28571428571429,NA,3.85714285714286,NA,NA,NA,NA,NA
"My goal is to workout in the gym at least twice a week","Attainability",NA,NA,NA,NA,NA,2.75,NA,6.33333333333333
"My goal is to workout in the gym at least twice a week","Consensus",NA,NA,NA,NA,NA,3,NA,2
"My goal is to workout in the gym at least twice a week","External",NA,NA,NA,NA,NA,4.8,NA,2.2
"My goal is to workout in the gym at least twice a week","Instrumentality",NA,NA,NA,NA,NA,5,NA,4
"My goal is to workout in the gym at least twice a week","Measurability",NA,NA,NA,NA,NA,5,NA,4
"My goal is to workout in the gym at least twice a week","Value",NA,NA,NA,NA,NA,4.14285714285714,NA,3
"My goal is to worry less. I worry over almost everything. I want to try to refrain from worrying over what I cannot change. I want to let what is going to happen anyway just happen and tehn take action rather than worry so much ahead of time.","Attainability",NA,4.5,NA,NA,NA,NA,NA,5.66666666666667
"My goal is to worry less. I worry over almost everything. I want to try to refrain from worrying over what I cannot change. I want to let what is going to happen anyway just happen and tehn take action rather than worry so much ahead of time.","Consensus",NA,2.5,NA,NA,NA,NA,NA,3
"My goal is to worry less. I worry over almost everything. I want to try to refrain from worrying over what I cannot change. I want to let what is going to happen anyway just happen and tehn take action rather than worry so much ahead of time.","External",NA,4.4,NA,NA,NA,NA,NA,3.8
"My goal is to worry less. I worry over almost everything. I want to try to refrain from worrying over what I cannot change. I want to let what is going to happen anyway just happen and tehn take action rather than worry so much ahead of time.","Instrumentality",NA,6,NA,NA,NA,NA,NA,7
"My goal is to worry less. I worry over almost everything. I want to try to refrain from worrying over what I cannot change. I want to let what is going to happen anyway just happen and tehn take action rather than worry so much ahead of time.","Measurability",NA,4,NA,NA,NA,NA,NA,2.5
"My goal is to worry less. I worry over almost everything. I want to try to refrain from worrying over what I cannot change. I want to let what is going to happen anyway just happen and tehn take action rather than worry so much ahead of time.","Value",NA,5.42857142857143,NA,NA,NA,NA,NA,6
"My goal is to write at least once a week.","Attainability",NA,NA,NA,NA,NA,NA,4.5,6.66666666666667
"My goal is to write at least once a week.","Consensus",NA,NA,NA,NA,NA,NA,0.5,0
"My goal is to write at least once a week.","External",NA,NA,NA,NA,NA,NA,1.6,1.6
"My goal is to write at least once a week.","Instrumentality",NA,NA,NA,NA,NA,NA,5,4.5
"My goal is to write at least once a week.","Measurability",NA,NA,NA,NA,NA,NA,3.5,3
"My goal is to write at least once a week.","Value",NA,NA,NA,NA,NA,NA,3.57142857142857,2.57142857142857
"My goal is to write two pages of prose each day.","Attainability",NA,5.75,6,NA,NA,NA,NA,NA
"My goal is to write two pages of prose each day.","Consensus",NA,0.5,1.66666666666667,NA,NA,NA,NA,NA
"My goal is to write two pages of prose each day.","External",NA,3.2,4.5,NA,NA,NA,NA,NA
"My goal is to write two pages of prose each day.","Instrumentality",NA,6,7,NA,NA,NA,NA,NA
"My goal is to write two pages of prose each day.","Measurability",NA,4.5,6.5,NA,NA,NA,NA,NA
"My goal is to write two pages of prose each day.","Value",NA,4.14285714285714,4.2,NA,NA,NA,NA,NA
"My goal is use mindfulness once a day for 90 days, starting April 1st","Attainability",1,NA,NA,NA,NA,NA,NA,7.33333333333333
"My goal is use mindfulness once a day for 90 days, starting April 1st","Consensus",0.75,NA,NA,NA,NA,NA,NA,0.75
"My goal is use mindfulness once a day for 90 days, starting April 1st","External",1.4,NA,NA,NA,NA,NA,NA,2
"My goal is use mindfulness once a day for 90 days, starting April 1st","Instrumentality",6,NA,NA,NA,NA,NA,NA,6
"My goal is use mindfulness once a day for 90 days, starting April 1st","Measurability",5,NA,NA,NA,NA,NA,NA,6
"My goal is use mindfulness once a day for 90 days, starting April 1st","Value",5,NA,NA,NA,NA,NA,NA,4.85714285714286
"my goal over the next three months and beyond is to exercise every other day to help build energy and muscle. this goal will be ongoing for the rest of my life.","Attainability",NA,NA,2.75,NA,NA,NA,4,NA
"my goal over the next three months and beyond is to exercise every other day to help build energy and muscle. this goal will be ongoing for the rest of my life.","Consensus",NA,NA,3.5,NA,NA,NA,2.25,NA
"my goal over the next three months and beyond is to exercise every other day to help build energy and muscle. this goal will be ongoing for the rest of my life.","External",NA,NA,4.2,NA,NA,NA,3.4,NA
"my goal over the next three months and beyond is to exercise every other day to help build energy and muscle. this goal will be ongoing for the rest of my life.","Instrumentality",NA,NA,6,NA,NA,NA,4.5,NA
"my goal over the next three months and beyond is to exercise every other day to help build energy and muscle. this goal will be ongoing for the rest of my life.","Measurability",NA,NA,5,NA,NA,NA,6.5,NA
"my goal over the next three months and beyond is to exercise every other day to help build energy and muscle. this goal will be ongoing for the rest of my life.","Value",NA,NA,5.28571428571429,NA,NA,NA,4.85714285714286,NA
"my goal will beto get a xbox series s in the next 3 mo.","Attainability",NA,NA,3,NA,NA,NA,2.75,NA
"my goal will beto get a xbox series s in the next 3 mo.","Consensus",NA,NA,1.33333333333333,NA,NA,NA,0.5,NA
"my goal will beto get a xbox series s in the next 3 mo.","External",NA,NA,3,NA,NA,NA,1.6,NA
"my goal will beto get a xbox series s in the next 3 mo.","Instrumentality",NA,NA,4,NA,NA,NA,2.5,NA
"my goal will beto get a xbox series s in the next 3 mo.","Measurability",NA,NA,6,NA,NA,NA,4,NA
"my goal will beto get a xbox series s in the next 3 mo.","Value",NA,NA,4.25,NA,NA,NA,2.85714285714286,NA
"My goal, over the next year, is to naturally bring down my sugar and cholesterol through diet and exercise alone.","Attainability",NA,NA,NA,NA,NA,NA,4,4.66666666666667
"My goal, over the next year, is to naturally bring down my sugar and cholesterol through diet and exercise alone.","Consensus",NA,NA,NA,NA,NA,NA,2.5,2.75
"My goal, over the next year, is to naturally bring down my sugar and cholesterol through diet and exercise alone.","External",NA,NA,NA,NA,NA,NA,4.6,4
"My goal, over the next year, is to naturally bring down my sugar and cholesterol through diet and exercise alone.","Instrumentality",NA,NA,NA,NA,NA,NA,5,3.5
"My goal, over the next year, is to naturally bring down my sugar and cholesterol through diet and exercise alone.","Measurability",NA,NA,NA,NA,NA,NA,5.5,5.5
"My goal, over the next year, is to naturally bring down my sugar and cholesterol through diet and exercise alone.","Value",NA,NA,NA,NA,NA,NA,5,4.42857142857143
"My goalis to get blood pressure down to normal range in the following month","Attainability",NA,NA,NA,2.5,NA,NA,NA,4.33333333333333
"My goalis to get blood pressure down to normal range in the following month","Consensus",NA,NA,NA,2.75,NA,NA,NA,3.75
"My goalis to get blood pressure down to normal range in the following month","External",NA,NA,NA,3.8,NA,NA,NA,3.4
"My goalis to get blood pressure down to normal range in the following month","Instrumentality",NA,NA,NA,3.5,NA,NA,NA,5
"My goalis to get blood pressure down to normal range in the following month","Measurability",NA,NA,NA,4.5,NA,NA,NA,1.5
"My goalis to get blood pressure down to normal range in the following month","Value",NA,NA,NA,3.57142857142857,NA,NA,NA,4.42857142857143
"My goalis to make new friends","Attainability",NA,7,2.75,NA,NA,NA,NA,5.66666666666667
"My goalis to make new friends","Consensus",NA,2.75,2,NA,NA,NA,NA,2.25
"My goalis to make new friends","External",NA,3.8,3.8,NA,NA,NA,NA,4.4
"My goalis to make new friends","Instrumentality",NA,5.5,5,NA,NA,NA,NA,4.5
"My goalis to make new friends","Measurability",NA,1,4,NA,NA,NA,NA,2.5
"My goalis to make new friends","Value",NA,5.42857142857143,4.85714285714286,NA,NA,NA,NA,5
